time,pressure,altitude,velocity,acc_x,acc_y,acc_z,acc_tot
-4.620,98.7103,-0.763,0.000,29.706,1.957,4.277,30.076
-4.600,98.7142,-0.964,0.000,30.062,1.957,4.528,30.464
-4.580,98.7073,-0.674,0.000,29.706,1.957,4.025,30.041
-4.560,98.7073,0.072,0.000,30.062,1.957,4.277,30.428
-4.540,98.7094,0.121,0.000,29.706,1.601,4.528,30.092
-4.520,98.7057,0.492,0.000,29.884,1.779,4.528,30.278
-4.500,98.7100,0.627,0.000,29.706,1.957,4.780,30.152
-4.480,98.7097,-0.076,0.000,29.528,1.779,4.528,29.926
-4.460,98.7115,-0.257,0.000,29.884,1.779,4.277,30.241
-4.440,98.7083,0.038,0.000,29.884,1.067,5.031,30.323
-4.420,98.7124,-0.316,0.000,30.062,1.957,4.528,30.464
-4.400,98.7119,-1.103,0.000,30.062,1.957,4.277,30.428
-4.380,98.7115,-0.988,0.000,30.062,1.957,4.528,30.464
-4.360,98.7082,-0.583,0.000,29.706,1.957,4.277,30.076
-4.340,98.7110,-0.893,0.000,29.884,1.779,4.528,30.278
-4.320,98.7082,-1.071,0.000,30.062,1.957,4.780,30.502
-4.300,98.7093,-0.783,0.000,29.706,1.601,4.277,30.055
-4.280,98.7108,-0.708,0.000,29.528,1.423,4.528,29.907
-4.260,98.7100,-0.491,0.000,30.062,1.957,4.780,30.502
-4.240,98.7115,-0.438,0.000,29.706,1.601,4.277,30.055
-4.220,98.7023,0.575,0.000,29.706,1.601,4.277,30.055
-4.200,98.7115,0.623,0.000,29.706,1.601,4.025,30.020
-4.180,98.7084,0.623,0.000,29.884,1.779,4.025,30.206
-4.160,98.7083,0.494,0.000,29.706,1.601,4.277,30.055
-4.140,98.7100,0.402,0.000,30.240,2.135,4.780,30.690
-4.120,98.7119,0.498,0.000,26.326,-0.356,1.509,26.372
-4.100,98.7122,0.279,0.000,28.995,0.178,3.019,29.152
-4.080,98.7103,-0.228,0.000,30.062,1.601,3.773,30.340
-4.060,98.7079,-0.058,0.000,29.706,1.957,4.528,30.113
-4.040,98.7093,0.211,0.000,29.706,1.245,4.277,30.038
-4.020,98.7079,0.022,0.000,30.062,1.957,4.277,30.428
-4.000,98.7076,-0.044,0.000,29.528,1.779,4.528,29.926
-3.980,98.7072,-0.180,0.000,29.884,1.423,4.277,30.222
-3.960,98.7084,-0.166,0.000,29.173,1.423,4.528,29.556
-3.940,98.7119,-0.518,0.000,29.706,1.601,4.528,30.092
-3.920,98.7054,-0.093,0.000,29.884,1.779,4.780,30.316
-3.900,98.7137,-0.630,0.000,29.528,1.423,4.780,29.947
-3.880,98.7116,-0.825,0.000,29.884,1.779,4.277,30.241
-3.860,98.7104,-0.831,0.000,29.884,1.779,4.780,30.316
-3.840,98.7079,-0.553,0.000,30.062,1.601,4.277,30.407
-3.820,98.7100,-0.540,0.000,29.528,1.779,4.528,29.926
-3.800,98.7089,-0.406,0.000,29.528,1.423,4.025,29.835
-3.780,98.7079,-0.189,0.000,29.706,1.957,4.025,30.041
-3.760,98.7110,0.100,0.000,29.173,1.423,4.025,29.483
-3.740,98.7110,0.290,0.000,29.528,1.779,4.025,29.854
-3.720,98.7084,0.563,0.000,29.528,1.779,4.025,29.854
-3.700,98.7099,0.442,0.000,29.706,1.601,4.025,30.020
-3.680,98.7071,0.973,0.000,30.062,1.957,4.528,30.464
-3.660,98.7122,0.697,0.000,29.706,1.601,4.277,30.055
-3.640,98.7107,-0.132,0.000,30.062,1.957,4.528,30.464
-3.620,98.7049,0.059,0.000,30.062,1.957,4.528,30.464
-3.600,98.7087,0.135,0.000,29.706,1.957,4.025,30.041
-3.580,98.7076,0.042,0.000,29.706,2.312,4.528,30.138
-3.560,98.7096,-0.143,0.000,29.884,2.135,4.528,30.300
-3.540,98.7111,-0.150,0.000,29.706,1.957,4.780,30.152
-3.520,98.7082,0.031,0.000,29.528,1.779,4.277,29.889
-3.500,98.7067,0.134,0.000,29.173,1.779,4.528,29.575
-3.480,98.7108,-0.180,0.000,29.706,1.601,4.025,30.020
-3.460,98.7100,-0.041,0.000,29.884,1.779,4.025,30.206
-3.440,98.7105,-0.383,0.000,29.884,1.779,4.277,30.241
-3.420,98.7087,0.046,0.000,29.706,1.601,4.780,30.131
-3.400,98.7105,0.023,0.000,29.706,1.957,4.528,30.113
-3.380,98.7079,0.342,0.000,30.240,1.779,4.277,30.593
-3.360,98.7107,0.208,0.000,29.350,1.957,4.528,29.762
-3.340,98.7111,-0.135,0.000,29.528,1.779,4.277,29.889
-3.320,98.7045,0.109,0.000,29.884,1.779,4.528,30.278
-3.300,98.7102,-0.228,0.000,29.706,1.601,4.780,30.131
-3.280,98.7096,-0.652,0.000,29.884,2.135,4.277,30.264
-3.260,98.7083,-0.727,0.000,29.706,1.957,4.277,30.076
-3.240,98.7040,0.241,0.000,29.706,1.601,4.025,30.020
-3.220,98.7110,-0.003,0.000,30.062,1.601,4.277,30.407
-3.200,98.7108,-0.084,0.000,29.884,1.779,4.025,30.206
-3.180,98.7083,0.015,0.000,29.706,1.601,4.025,30.020
-3.160,98.7073,-0.199,0.000,29.706,1.957,4.528,30.113
-3.140,98.7111,-0.296,0.000,29.528,2.135,4.528,29.950
-3.120,98.7051,0.757,0.000,30.062,1.957,5.031,30.543
-3.100,98.7104,0.408,0.000,29.528,2.135,4.528,29.950
-3.080,98.7104,0.455,0.000,29.528,1.779,4.780,29.966
-3.060,98.7094,0.362,0.000,29.884,1.779,4.780,30.316
-3.040,98.7084,0.136,0.000,29.884,1.779,4.780,30.316
-3.020,98.7065,0.567,0.000,30.062,1.601,4.780,30.482
-3.000,98.7100,0.448,0.000,29.528,1.779,4.528,29.926
-2.980,98.7094,0.135,0.000,29.706,1.601,4.277,30.055
