time,pressure,altitude,velocity,acc_x,acc_y,acc_z,acc_tot
-2.580,101.9553,0.265,0.000,-30.951,-13.875,-4.780,34.254
-2.560,101.9608,-0.064,0.000,-31.129,-13.697,-4.528,34.309
-2.540,101.9583,0.150,0.000,-31.129,-13.697,-4.780,34.344
-2.520,101.9574,0.578,0.000,-31.307,-13.875,-4.780,34.576
-2.500,101.9579,0.138,0.000,-31.129,-13.697,-4.780,34.344
-2.480,101.9576,0.141,0.000,-30.951,-13.875,-4.780,34.254
-2.460,101.9604,-0.348,0.000,-31.129,-13.697,-4.780,34.344
-2.440,101.9558,-0.198,0.000,-30.774,-13.697,-4.780,34.021
-2.420,101.9629,-0.753,0.000,-30.951,-13.875,-4.780,34.254
-2.400,101.9594,-0.537,0.000,-31.129,-13.697,-4.780,34.344
-2.380,101.9584,-0.405,0.000,-31.129,-13.697,-4.780,34.344
-2.360,101.9584,-0.071,0.000,-31.307,-13.875,-4.780,34.576
-2.340,101.9615,-0.218,0.000,-30.951,-13.519,-4.780,34.112
-2.320,101.9604,-0.493,0.000,-31.129,-13.697,-4.780,34.344
-2.300,101.9610,-0.715,0.000,-30.774,-14.053,-4.780,34.166
-2.280,101.9609,-0.701,0.000,-30.774,-14.053,-4.780,34.166
-2.260,101.9589,-0.278,0.000,-30.951,-14.231,-4.780,34.400
-2.240,101.9553,-0.245,0.000,-31.129,-14.053,-4.780,34.487
-2.220,101.9579,-0.382,0.000,-31.129,-14.053,-4.780,34.487
-2.200,101.9598,-0.254,0.000,-31.129,-13.697,-4.780,34.344
-2.180,101.9594,0.142,0.000,-31.129,-13.697,-4.780,34.344
-2.160,101.9609,-0.338,0.000,-31.129,-14.053,-4.528,34.453
-2.140,101.9568,0.077,0.000,-31.485,-13.697,-4.780,34.666
-2.120,101.9571,0.242,0.000,-31.129,-13.697,-4.780,34.344
-2.100,101.9552,0.617,0.000,-31.129,-13.697,-4.780,34.344
-2.080,101.9552,0.941,0.000,-31.307,-13.875,-4.780,34.576
-2.060,101.9574,1.004,0.000,-30.774,-14.053,-4.780,34.166
-2.040,101.9578,0.961,0.000,-31.129,-13.697,-4.780,34.344
-2.020,101.9568,0.877,0.000,-30.951,-13.875,-4.528,34.220
-2.000,101.9589,0.521,0.000,-31.307,-13.519,-4.780,34.435
-1.980,101.9584,0.232,0.000,-31.129,-13.697,-4.780,34.344
-1.960,101.9587,0.243,0.000,-31.307,-13.875,-4.780,34.576
-1.940,101.9578,0.329,0.000,-30.951,-13.875,-4.780,34.254
-1.920,101.9582,-0.008,0.000,-30.951,-13.875,-4.528,34.220
-1.900,101.9594,0.083,0.000,-31.129,-13.697,-4.780,34.344
-1.880,101.9604,-0.204,0.000,-30.951,-13.875,-4.780,34.254
-1.860,101.9592,-0.035,0.000,-30.951,-13.875,-4.780,34.254
-1.840,101.9563,0.149,0.000,-30.951,-13.519,-4.780,34.112
-1.820,101.9556,0.457,0.000,-31.129,-14.053,-4.780,34.487
-1.800,101.9546,0.806,0.000,-31.307,-13.875,-4.780,34.576
-1.780,101.9597,0.177,0.000,-30.951,-13.875,-4.780,34.254
-1.760,101.9572,0.117,0.000,-30.951,-13.875,-4.528,34.220
-1.740,101.9568,0.105,0.000,-31.307,-13.875,-4.780,34.576
-1.720,101.9593,0.154,0.000,-31.307,-13.875,-4.780,34.576
-1.700,101.9547,0.353,0.000,-31.129,-13.697,-4.780,34.344
